claudeDesktopProviderPresets.ts	aggregator	9527CODE	https://9527.codes	
claudeDesktopProviderPresets.ts	aggregator	A6API	https://api.a6api.com	
claudeDesktopProviderPresets.ts	aggregator	AICodeWith	https://api.aicodewith.ai	
claudeDesktopProviderPresets.ts	aggregator	AiHubMix	https://aihubmix.com	
claudeDesktopProviderPresets.ts	aggregator	Amux	https://api.amux.ai	
claudeDesktopProviderPresets.ts	aggregator	AtlasCloud	https://api.atlascloud.ai	
claudeDesktopProviderPresets.ts	aggregator	CCSub	https://www.ccsub.net	
claudeDesktopProviderPresets.ts	aggregator	CherryIN	https://open.cherryin.net	
claudeDesktopProviderPresets.ts	aggregator	ClaudeAPI	https://gw.apito.ai	
claudeDesktopProviderPresets.ts	aggregator	Code0	https://code0.ai	
claudeDesktopProviderPresets.ts	aggregator	Compshare	https://api.modelverse.cn	
claudeDesktopProviderPresets.ts	aggregator	Compshare Coding Plan	https://cp.compshare.cn	
claudeDesktopProviderPresets.ts	aggregator	DMXAPI	https://www.dmxapi.cn	
claudeDesktopProviderPresets.ts	aggregator	FennoAI	https://api.fenno.ai	
claudeDesktopProviderPresets.ts	aggregator	JieKou AI	https://api.jiekou.ai/anthropic	
claudeDesktopProviderPresets.ts	aggregator	ModelScope	https://api-inference.modelscope.cn	
claudeDesktopProviderPresets.ts	aggregator	Novita AI	https://api.novita.ai/anthropic	
claudeDesktopProviderPresets.ts	aggregator	Nvidia	https://integrate.api.nvidia.com	
claudeDesktopProviderPresets.ts	aggregator	OpenRouter	https://openrouter.ai/api	
claudeDesktopProviderPresets.ts	aggregator	PIPELLM	https://cc-api.pipellm.ai	
claudeDesktopProviderPresets.ts	aggregator	PPIO	https://api.ppio.com/anthropic	
claudeDesktopProviderPresets.ts	aggregator	Qiniu	https://api.qnaigc.com	
claudeDesktopProviderPresets.ts	aggregator	RunAPI	https://runapi.host	
claudeDesktopProviderPresets.ts	aggregator	Shengsuanyun	https://router.shengsuanyun.com/api	
claudeDesktopProviderPresets.ts	aggregator	SiliconFlow	https://api.siliconflow.cn	
claudeDesktopProviderPresets.ts	aggregator	SiliconFlow en	https://api.siliconflow.com	
claudeDesktopProviderPresets.ts	aggregator	SoleAPI	https://soleapi.com	
claudeDesktopProviderPresets.ts	aggregator	SubRouter	https://subrouter.ai	
claudeDesktopProviderPresets.ts	aggregator	TeamoRouter	https://api.teamorouter.cn	
claudeDesktopProviderPresets.ts	aggregator	TheRouter	https://api.therouter.ai	
claudeDesktopProviderPresets.ts	aggregator	XycAi	https://apicdn.xycai.us	
claudeDesktopProviderPresets.ts	aggregator	ZetaAPI	https://api.zetaapi.ai	
claudeDesktopProviderPresets.ts	cn_official	火山 Agent Plan	https://ark.cn-beijing.volces.com/api/plan	
claudeDesktopProviderPresets.ts	cn_official	火山 Coding Plan	https://ark.cn-beijing.volces.com/api/coding	
claudeDesktopProviderPresets.ts	cn_official	Baidu Qianfan Coding Plan	https://qianfan.baidubce.com/anthropic/coding	
claudeDesktopProviderPresets.ts	cn_official	Baidu Qianfan Token Plan	https://qianfan.baidubce.com/anthropic/tokenplan/personal	
claudeDesktopProviderPresets.ts	cn_official	Bailian	https://dashscope.aliyuncs.com/apps/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Bailian For Coding	https://coding.dashscope.aliyuncs.com/apps/anthropic	
claudeDesktopProviderPresets.ts	cn_official	BaiLing	https://api.tbox.cn/api/anthropic	
claudeDesktopProviderPresets.ts	cn_official	BytePlus	https://ark.ap-southeast.bytepluses.com/api/coding	
claudeDesktopProviderPresets.ts	cn_official	DeepSeek	https://api.deepseek.com/anthropic	
claudeDesktopProviderPresets.ts	cn_official	DouBaoSeed	https://ark.cn-beijing.volces.com/api/compatible	
claudeDesktopProviderPresets.ts	cn_official	Kimi	https://api.moonshot.cn/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Kimi For Coding	https://api.kimi.com/coding/	
claudeDesktopProviderPresets.ts	cn_official	Longcat	https://api.longcat.chat/anthropic	
claudeDesktopProviderPresets.ts	cn_official	MiniMax	https://api.minimaxi.com/anthropic	
claudeDesktopProviderPresets.ts	cn_official	MiniMax en	https://api.minimax.io/anthropic	
claudeDesktopProviderPresets.ts	cn_official	QwenCloud	https://dashscope-intl.aliyuncs.com/apps/anthropic	
claudeDesktopProviderPresets.ts	cn_official	QwenCloud For Coding	https://coding-intl.dashscope.aliyuncs.com/apps/anthropic	
claudeDesktopProviderPresets.ts	cn_official	QwenCloud Token Plan	https://token-plan.ap-southeast-1.maas.aliyuncs.com/apps/anthropic	
claudeDesktopProviderPresets.ts	cn_official	StepFun	https://api.stepfun.com/step_plan	
claudeDesktopProviderPresets.ts	cn_official	StepFun en	https://api.stepfun.ai/step_plan	
claudeDesktopProviderPresets.ts	cn_official	Tencent Token Plan	https://api.lkeap.cloud.tencent.com/plan/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Tencent Token Plan (Intl)	https://tokenhub-intl.tencentcloudmaas.com/plan/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Tencent Token Plan Enterprise Lite	https://tokenhub.tencentmaas.com/plan/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Tencent Token Plan Enterprise Lite (Intl)	https://tokenhub-intl.tencentcloudmaas.com/plan/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Tencent Token Plan Enterprise Pro	https://tokenhub.tencentmaas.com/plan/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Tencent Token Plan Enterprise Pro (Intl)	https://tokenhub-intl.tencentcloudmaas.com/plan/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Xiaomi MiMo	https://api.xiaomimimo.com/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Xiaomi MiMo Token Plan (China)	https://token-plan-cn.xiaomimimo.com/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Zhipu GLM	https://open.bigmodel.cn/api/anthropic	
claudeDesktopProviderPresets.ts	cn_official	Zhipu GLM en	https://api.z.ai/api/anthropic	
claudeDesktopProviderPresets.ts	official	Claude Desktop Official		
claudeDesktopProviderPresets.ts	third_party	AICodeMirror	https://api.aicodemirror.ai/api/claudecode	
claudeDesktopProviderPresets.ts	third_party	AICoding	https://api.aicoding.inc	
claudeDesktopProviderPresets.ts	third_party	AIGoCode	https://api.aigocode.app	
claudeDesktopProviderPresets.ts	third_party	APIKEY.FUN	https://api.apikey.fun	
claudeDesktopProviderPresets.ts	third_party	APINebula	https://apinebula.ai	
claudeDesktopProviderPresets.ts	third_party	ClaudeCN	https://claudecn.top	
claudeDesktopProviderPresets.ts	third_party	Codex	https://chatgpt.com/backend-api/codex	
claudeDesktopProviderPresets.ts	third_party	CrazyRouter	https://cn.crazyrouter.com	
claudeDesktopProviderPresets.ts	third_party	Cubence	https://api.cubence.com	
claudeDesktopProviderPresets.ts	third_party	E-FlowCode	https://e-flowcode.cc	
claudeDesktopProviderPresets.ts	third_party	ETok.ai	https://api.etok.ai	
claudeDesktopProviderPresets.ts	third_party	Gemini Native	https://generativelanguage.googleapis.com	
claudeDesktopProviderPresets.ts	third_party	GitHub Copilot	https://api.githubcopilot.com	
claudeDesktopProviderPresets.ts	third_party	Micu	https://www.micuapi.ai	
claudeDesktopProviderPresets.ts	third_party	OpenCode Go	https://opencode.ai/zen/go	
claudeDesktopProviderPresets.ts	third_party	PackyCode	https://www.packyapi.ai	
claudeDesktopProviderPresets.ts	third_party	PatewayAI	https://api.pateway.ai	
claudeDesktopProviderPresets.ts	third_party	RelaxyCode	https://www.relaxycode.com	
claudeDesktopProviderPresets.ts	third_party	RightCode	https://www.rightapi.ai/claude	
